DATE,DGORDER
1992-02-01,114535
1992-03-01,120025
1992-04-01,124470
1992-05-01,125822
1992-06-01,122834
1992-07-01,122590
1992-08-01,120411
1992-09-01,120711
1992-10-01,127392
1992-11-01,122374
1992-12-01,126080
1993-01-01,121637
1993-02-01,128854
1993-03-01,126762
1993-04-01,127395
1993-05-01,126529
1993-06-01,130212
1993-07-01,128111
1993-08-01,129378
1993-09-01,127233
1993-10-01,133168
1993-11-01,130391
1993-12-01,133565
1994-01-01,138498
1994-02-01,137141
1994-03-01,136548
1994-04-01,140336
1994-05-01,142630
1994-06-01,145063
1994-07-01,145013
1994-08-01,145884
1994-09-01,145487
1994-10-01,149547
1994-11-01,150038
1994-12-01,152489
1995-01-01,150459
1995-02-01,153856
1995-03-01,152888
1995-04-01,151401
1995-05-01,152838
1995-06-01,150051
1995-07-01,148915
1995-08-01,154372
1995-09-01,160175
1995-10-01,155473
1995-11-01,156146
1995-12-01,163279
1996-01-01,155806
1996-02-01,150773
1996-03-01,164976
1996-04-01,156830
1996-05-01,164502
1996-06-01,164599
1996-07-01,163588
1996-08-01,157310
1996-09-01,165442
1996-10-01,165266
1996-11-01,170783
1996-12-01,162332
1997-01-01,161827
1997-02-01,170221
1997-03-01,167568
1997-04-01,174054
1997-05-01,168586
1997-06-01,174828
1997-07-01,178860
1997-08-01,177302
1997-09-01,177835
1997-10-01,177801
1997-11-01,191187
1997-12-01,173770
1998-01-01,174288
1998-02-01,181270
1998-03-01,176886
1998-04-01,180915
1998-05-01,180634
1998-06-01,172189
1998-07-01,170459
1998-08-01,179033
1998-09-01,181422
1998-10-01,178527
1998-11-01,182400
1998-12-01,178424
1999-01-01,186527
1999-02-01,185546
1999-03-01,184689
1999-04-01,182993
1999-05-01,185963
1999-06-01,182590
1999-07-01,189083
1999-08-01,189414
1999-09-01,188910
1999-10-01,194547
1999-11-01,186597
1999-12-01,196344
2000-01-01,201360
2000-02-01,183911
2000-03-01,192130
2000-04-01,195044
2000-05-01,188606
2000-06-01,219745
2000-07-01,189265
2000-08-01,188730
2000-09-01,199947
2000-10-01,186158
2000-11-01,189392
2000-12-01,188659
2001-01-01,177056
2001-02-01,180276
2001-03-01,182209
2001-04-01,171850
2001-05-01,177749
2001-06-01,176350
2001-07-01,170129
2001-08-01,170484
2001-09-01,164123
2001-10-01,171530
2001-11-01,163811
2001-12-01,165304
2002-01-01,163324.0
2002-02-01,172406.0
2002-03-01,167853.0
2002-04-01,171852.0
2002-05-01,171854.0
2002-06-01,166070.0
2002-07-01,174282.0
2002-08-01,177126.0
2002-09-01,166838.0
2002-10-01,169134.0
2002-11-01,170023.0
2002-12-01,163962.0
2003-01-01,169994.0
2003-02-01,174113.0
2003-03-01,172245.0
2003-04-01,169347.0
